player,color,opponent,result,event,site,date,year,eco,opening,plycount
Paul Morphy,white,"Mongredien, Augustus",1-0,Paris m1,Paris,1859.??.??,1859,C51,Evans Gambit,47
Paul Morphy,black,"Mongredien, Augustus",0-1,Paris m1,Paris,1859.??.??,1859,A84,Dutch Defense,100
Paul Morphy,white,"Mongredien, Augustus",1-0,Paris m1,Paris,1859.??.??,1859,C58,"Two Knights Defense, Fried Liver Attack",57
Paul Morphy,black,"Mongredien, Augustus",0-1,Paris m1,Paris,1859.??.??,1859,C33,King’s Gambit Accepted,52
Paul Morphy,white,"Mongredien, Augustus",1-0,Paris m1,Paris,1859.??.??,1859,C40,King’s Knight Opening,43
Paul Morphy,black,"Mongredien, Augustus",0-1,Paris m1,Paris,1859.??.??,1859,C52,"Evans Gambit, Pierce Defense",36
Paul Morphy,white,"Mongredien, Augustus",1-0,Paris m1,Paris,1859.??.??,1859,C41,Philidor Defense,59
Paul Morphy,white,"Thomas, W.",1-0,Philadelphia m,Philadelphia,1859.??.??,1859,C50,Italian Game,65
Paul Morphy,white,"Hammond, G.",1-0,USA tour sim,USA,1859.??.??,1859,C70,"Ruy Lopez, Morphy Defense",43
Paul Morphy,white,"Lewis, S.",1-0,USA tour sim,USA,1859.??.??,1859,B00,Uncommon King's Pawn Opening,49
Paul Morphy,black,NN,0-1,USA tour sim,USA,1859.??.??,1859,C65,"Ruy Lopez, Berlin Defense",48
Paul Morphy,white,Tilghman,1-0,USA tour sim,USA,1859.??.??,1859,C37,"King’s Gambit Accepted, Muzio Gambit",47
Paul Morphy,white,"Smyth, S.",1-0,USA tour sim,USA,1859.??.??,1859,C01,"French Defense, Exchange Variation",71
Paul Morphy,black,"Sicre, JM.",0-1,Habana m,Habana,1862.??.??,1862,C78,"Ruy Lopez, Archangelsk",68
Paul Morphy,white,"Sicre, JM.",1-0,Habana m,Habana,1862.??.??,1862,C01,"French Defense, Exchange Variation",53
Paul Morphy,black,"De Riviere, Jules Arnous",1-0,Paris m2,Paris,1863.??.??,1863,C54,Giuoco Piano,109
